store_id,store_name,metric_name,metric_value,period_type,observed_period,observed_local_time,store_timezone,submission_time_utc,source,notes
S122,Jubilee walk Mohali,score,69,monthly,2025-07,2025-07-10T18:00:00+05:30,Asia/Kolkata,2025-07-10T02:30:10Z,google_sheets,July audit
S122,Jubilee walk Mohali,percentage,78,monthly,2025-07,2025-07-10T18:00:00+05:30,Asia/Kolkata,2025-07-10T02:30:10Z,google_sheets,July audit
S068,Koramangala 8th block,score,59,monthly,2025-07,2025-07-10T18:00:00+05:30,Asia/Kolkata,2025-07-10T02:30:10Z,google_sheets,July audit
S068,Koramangala 8th block,percentage,66,monthly,2025-07,2025-07-10T18:00:00+05:30,Asia/Kolkata,2025-07-10T02:30:10Z,google_sheets,July audit
S087,EQUINOX - BKC,score,47,monthly,2025-07,2025-07-11T18:00:00+05:30,Asia/Kolkata,2025-07-11T02:30:10Z,google_sheets,July audit
S087,EQUINOX - BKC,percentage,54,monthly,2025-07,2025-07-11T18:00:00+05:30,Asia/Kolkata,2025-07-11T02:30:10Z,google_sheets,July audit
S048,Kalyani Nagar Pune,score,76,monthly,2025-07,2025-07-11T18:00:00+05:30,Asia/Kolkata,2025-07-11T02:30:10Z,google_sheets,July audit
S048,Kalyani Nagar Pune,percentage,84,monthly,2025-07,2025-07-11T18:00:00+05:30,Asia/Kolkata,2025-07-11T02:30:10Z,google_sheets,July audit
S122,Jubilee walk Mohali,score,72,monthly,2025-08,2025-08-10T18:00:00+05:30,Asia/Kolkata,2025-08-10T02:30:10Z,google_sheets,August audit
S122,Jubilee walk Mohali,percentage,81,monthly,2025-08,2025-08-10T18:00:00+05:30,Asia/Kolkata,2025-08-10T02:30:10Z,google_sheets,August audit
S068,Koramangala 8th block,score,65,monthly,2025-08,2025-08-10T18:00:00+05:30,Asia/Kolkata,2025-08-10T02:30:10Z,google_sheets,August audit
S068,Koramangala 8th block,percentage,72,monthly,2025-08,2025-08-10T18:00:00+05:30,Asia/Kolkata,2025-08-10T02:30:10Z,google_sheets,August audit
S087,EQUINOX - BKC,score,52,monthly,2025-08,2025-08-11T18:00:00+05:30,Asia/Kolkata,2025-08-11T02:30:10Z,google_sheets,August audit
S087,EQUINOX - BKC,percentage,60,monthly,2025-08,2025-08-11T18:00:00+05:30,Asia/Kolkata,2025-08-11T02:30:10Z,google_sheets,August audit
S048,Kalyani Nagar Pune,score,78,monthly,2025-08,2025-08-11T18:00:00+05:30,Asia/Kolkata,2025-08-11T02:30:10Z,google_sheets,August audit
S048,Kalyani Nagar Pune,percentage,86,monthly,2025-08,2025-08-11T18:00:00+05:30,Asia/Kolkata,2025-08-11T02:30:10Z,google_sheets,August audit
S122,Jubilee walk Mohali,score,75,monthly,2025-09,2025-09-10T18:00:00+05:30,Asia/Kolkata,2025-09-10T02:30:10Z,google_sheets,September audit
S122,Jubilee walk Mohali,percentage,83,monthly,2025-09,2025-09-10T18:00:00+05:30,Asia/Kolkata,2025-09-10T02:30:10Z,google_sheets,September audit
S068,Koramangala 8th block,score,68,monthly,2025-09,2025-09-10T18:00:00+05:30,Asia/Kolkata,2025-09-10T02:30:10Z,google_sheets,September audit
S068,Koramangala 8th block,percentage,76,monthly,2025-09,2025-09-10T18:00:00+05:30,Asia/Kolkata,2025-09-10T02:30:10Z,google_sheets,September audit
S087,EQUINOX - BKC,score,55,monthly,2025-09,2025-09-11T18:00:00+05:30,Asia/Kolkata,2025-09-11T02:30:10Z,google_sheets,September audit
S087,EQUINOX - BKC,percentage,64,monthly,2025-09,2025-09-11T18:00:00+05:30,Asia/Kolkata,2025-09-11T02:30:10Z,google_sheets,September audit
S048,Kalyani Nagar Pune,score,80,monthly,2025-09,2025-09-11T18:00:00+05:30,Asia/Kolkata,2025-09-11T02:30:10Z,google_sheets,September audit
S048,Kalyani Nagar Pune,percentage,88,monthly,2025-09,2025-09-11T18:00:00+05:30,Asia/Kolkata,2025-09-11T02:30:10Z,google_sheets,September audit
